well,well_id,strain,replicate,cmp58_uM,AZ1729_uM
A01,1,ASC4G1-3,1,0,0
A02,2,ASC4G1-3,2,0,0
A03,3,ASC4G1-3,3,0,0
A04,4,ASC4G1-3,1,0.05,0
A05,5,ASC4G1-3,2,0.05,0
A06,6,ASC4G1-3,3,0.05,0
A07,7,ASC4G1-3,1,0.5,0
A08,8,ASC4G1-3,2,0.5,0
A09,9,ASC4G1-3,3,0.5,0
B01,13,ASC4G1-3,1,0,0.01
B02,14,ASC4G1-3,2,0,0.01
B03,15,ASC4G1-3,3,0,0.01
B04,16,ASC4G1-3,1,0.05,0.01
B05,17,ASC4G1-3,2,0.05,0.01
B06,18,ASC4G1-3,3,0.05,0.01
B07,19,ASC4G1-3,1,0.5,0.01
B08,20,ASC4G1-3,2,0.5,0.01
B09,21,ASC4G1-3,3,0.5,0.01
C01,25,ASC4G1-3,1,0,0.1
C02,26,ASC4G1-3,2,0,0.1
C03,27,ASC4G1-3,3,0,0.1
C04,28,ASC4G1-3,1,0.05,0.1
C05,29,ASC4G1-3,2,0.05,0.1
C06,30,ASC4G1-3,3,0.05,0.1
C07,31,ASC4G1-3,1,0.5,0.1
C08,32,ASC4G1-3,2,0.5,0.1
C09,33,ASC4G1-3,3,0.5,0.1
D01,37,ASC4G1-3,1,0,1
D02,38,ASC4G1-3,2,0,1
D03,39,ASC4G1-3,3,0,1
D04,40,ASC4G1-3,1,0.05,1
D05,41,ASC4G1-3,2,0.05,1
D06,42,ASC4G1-3,3,0.05,1
D07,43,ASC4G1-3,1,0.5,1
D08,44,ASC4G1-3,2,0.5,1
D09,45,ASC4G1-3,3,0.5,1
E01,49,ASC4G1-3,1,0.01,0
E02,50,ASC4G1-3,2,0.01,0
E03,51,ASC4G1-3,3,0.01,0
E04,52,ASC4G1-3,1,0.1,0
E05,53,ASC4G1-3,2,0.1,0
E06,54,ASC4G1-3,3,0.1,0
E07,55,ASC4G1-3,1,1,0
E08,56,ASC4G1-3,2,1,0
E09,57,ASC4G1-3,3,1,0
F01,61,ASC4G1-3,1,0.01,0.01
F02,62,ASC4G1-3,2,0.01,0.01
F03,63,ASC4G1-3,3,0.01,0.01
F04,64,ASC4G1-3,1,0.1,0.01
F05,65,ASC4G1-3,2,0.1,0.01
F06,66,ASC4G1-3,3,0.1,0.01
F07,67,ASC4G1-3,1,1,0.01
F08,68,ASC4G1-3,2,1,0.01
F09,69,ASC4G1-3,3,1,0.01
G01,73,ASC4G1-3,1,0.01,0.1
G02,74,ASC4G1-3,2,0.01,0.1
G03,75,ASC4G1-3,3,0.01,0.1
G04,76,ASC4G1-3,1,0.1,0.1
G05,77,ASC4G1-3,2,0.1,0.1
G06,78,ASC4G1-3,3,0.1,0.1
G07,79,ASC4G1-3,1,1,0.1
G08,80,ASC4G1-3,2,1,0.1
G09,81,ASC4G1-3,3,1,0.1
H01,85,ASC4G1-3,1,0.01,1
H02,86,ASC4G1-3,2,0.01,1
H03,87,ASC4G1-3,3,0.01,1
H04,88,ASC4G1-3,1,0.1,1
H05,89,ASC4G1-3,2,0.1,1
H06,90,ASC4G1-3,3,0.1,1
H07,91,ASC4G1-3,1,1,1
H08,92,ASC4G1-3,2,1,1
H09,93,ASC4G1-3,3,1,1
